date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2021-05-06,sh.600000,9.9700,10.1800,9.9700,10.1000,10.0500,61139167,616780671.5700,3,0.208300,1,0.497500,0
2021-05-07,sh.600000,10.1000,10.1500,9.9900,10.0300,10.1000,72345288,728759605.3100,3,0.246500,1,-0.693100,0
2021-05-10,sh.600000,10.0600,10.0600,9.8800,9.9500,10.0300,61516454,610992515.4000,3,0.209600,1,-0.797600,0
2021-05-11,sh.600000,9.9200,10.0700,9.9000,10.0500,9.9500,42333780,423538344.9600,3,0.144200,1,1.005000,0
2021-05-12,sh.600000,10.0400,10.2000,10.0200,10.1200,10.0500,52012085,526835922.5900,3,0.177200,1,0.696500,0
2021-05-13,sh.600000,10.0900,10.1700,10.0100,10.0900,10.1200,47212565,475665503.3300,3,0.160800,1,-0.296400,0
2021-05-14,sh.600000,10.1000,10.2000,10.0300,10.1900,10.0900,47681403,483068526.7400,3,0.162400,1,0.991100,0
